isolateID,INH_pDST,PZA,EMB,ETH,KAN,FQ
ITM2008-00142,no data,S,R,R,S,S
ITM2008-00207,no data,S,S,S,S,S
ITM2008-00210,no data,R,S,S,S,S
ITM2008-00217,no data,S,R,R,S,S
ITM2008-00219,no data,R,R,S,S,S
ITM2008-00243,no data,S,R,S,S,high
ITM2008-00247,no data,R,R,S,S,S
ITM2008-01048,no data,S,R,R,S,S
ITM2008-01305,no data,S,R,S,S,low
ITM2008-01307,no data,S,R,S,S,S
ITM2008-01314,no data,R,S,S,S,S
ITM2008-01317,no data,R,S,S,S,S
ITM2008-01320,S,S,R,S,S,S
ITM2008-01331,no data,S,R,S,S,S
ITM2008-01779,no data,R,S,R,S,S
ITM2008-01807,no data,S,S,S,S,S
ITM2008-01811,no data,S,S,R,S,S
ITM2008-01822,no data,S,R,S,S,S
ITM2008-02031,no data,R,R,S,S,S
ITM2008-02737,no data,S,R,S,S,S
ITM2008-02755,no data,S,R,S,S,S
ITM2008-03082,no data,S,R,S,S,S
ITM2008-03103,no data,S,S,S,S,S
ITM2008-03120,no data,S,R,R,S,S
ITM2008-03704,no data,R,R,S,S,S
ITM2008-04042,no data,S,R,R,S,S
ITM2008-04059,no data,S,R,S,S,S
ITM2008-04099,no data,R,R,S,S,S
ITM2008-04276,no data,S,R,S,S,S
ITM2008-04336,no data,S,R,S,S,S
ITM2009-00113,S,S,S,S,S,S
ITM2009-00548,no data,S,R,R,S,S
ITM2009-00549,no data,S,S,R,S,S
ITM2009-00602,low,S,S,R,S,S
ITM2009-01144,no data,S,R,S,S,S
ITM2009-01711,no data,S,R,S,S,S
ITM2009-01712,no data,R,R,S,S,S
ITM2009-01716,low,S,R,R,S,S
ITM2009-01725,no data,R,R,S,S,S
ITM2009-01726,no data,S,S,S,S,S
ITM2009-02014,no data,S,S,S,S,S
ITM2009-02024,no data,S,R,S,S,S
ITM2009-02025,moderate,R,S,S,S,high
ITM2009-02311,no data,R,R,S,S,S
ITM2009-02314,no data,S,R,S,S,S
ITM2009-02315,no data,S,S,S,S,S
ITM2009-02319,no data,S,S,S,S,S
ITM2009-02577,no data,S,R,S,S,S
ITM2009-02580,no data,S,R,S,S,S
ITM2009-02581,no data,R,R,S,S,S
ITM2009-02592,no data,R,R,S,S,S
ITM2009-02594,low,S,S,S,S,S
ITM2009-02609,no data,S,R,S,S,S
ITM2009-03268,no data,S,S,S,S,S
ITM2009-03558,no data,S,R,S,S,S
ITM2009-03573,no data,S,R,S,S,low
ITM2009-03746,no data,S,S,S,S,S
ITM2009-03757,no data,R,R,R,S,S
ITM2009-03758,no data,S,S,S,S,S
ITM2010-00244,no data,S,S,R,S,S
ITM2010-00360,no data,R,R,S,S,S
ITM2010-00363,no data,S,R,S,S,S
ITM2010-00365,no data,S,R,S,S,S
ITM2010-00389,no data,R,R,S,S,S
ITM2010-00873,low,S,R,R,S,S
ITM2010-01403,no data,R,R,R,S,S
ITM2010-01407,no data,S,R,R,S,S
ITM2010-01424,no data,R,R,R,S,S
ITM2010-01641,no data,S,S,R,S,S
ITM2010-01644,no data,R,R,S,S,S
ITM2010-01651,no data,R,R,R,S,S
ITM2010-02091,no data,R,R,R,S,low
ITM2010-02100,no data,S,R,S,S,S
ITM2010-02109,no data,S,R,S,S,S
ITM2010-02110,no data,S,R,S,S,S
ITM2010-02111,no data,R,S,S,S,S
ITM2010-02112,no data,R,S,S,S,S
ITM2010-02130,no data,S,R,S,S,S
ITM2010-02409,no data,S,S,S,S,S
ITM2010-02417,no data,R,R,S,S,S
ITM2010-02419,no data,S,R,S,S,S
ITM2010-02592,no data,R,S,S,S,S
ITM2010-02598,high,R,R,R,S,low
ITM2010-02599,no data,R,R,S,S,S
ITM2010-02799,no data,S,R,S,S,S
ITM2010-02800,no data,R,R,R,S,S
ITM2010-02806,no data,S,R,R,S,S
ITM2010-02816,no data,S,S,S,S,S
ITM2010-02096,no data,S,R,S,S,S
ITM2011-00062,no data,R,R,R,S,S
ITM2011-00170,no data,S,S,R,S,S
ITM2011-00338,no data,S,S,S,S,S
ITM2011-00339,no data,R,S,R,R,high
ITM2011-00383,no data,S,S,S,S,S
ITM2011-00390,no data,R,S,S,S,S
ITM2011-00518,S,S,S,S,S,S
ITM2011-00604,no data,S,R,R,S,S
ITM2011-00618,no data,S,S,S,S,low
ITM2011-00632,no data,R,S,S,S,high
ITM2011-00638,no data,R,R,S,S,S
ITM2011-00911,no data,S,R,S,S,low
ITM2011-00957,low,S,R,R,S,S
ITM2011-00963,no data,S,S,S,S,S
ITM2011-01211,no data,S,S,S,S,S
ITM2011-01237,no data,R,R,R,S,S
ITM2011-01332,no data,R,R,R,S,low
ITM2011-01349,no data,S,S,S,S,S
ITM2011-01359,no data,S,S,R,S,S
ITM2011-01472,no data,S,S,S,S,S
ITM2012-01804,no data,S,S,S,R,low
ITM2013-00080,no data,R,R,S,S,high
ITM2013-00557,moderate,R,R,S,S,high
ITM2013-00561,moderate,S,S,S,S,high
ITM2013-01781,moderate,S,S,S,S,high
ITM2013-02224,high,R,R,S,S,high
ITM2013-02847,moderate,S,R,S,S,high
ITM2014-00348,moderate,S,S,S,R,high
ITM2014-01140,moderate,S,R,R,R,high
ITM2014-01147,high,S,R,R,S,high
ITM2014-01383,moderate,S,R,S,S,high
ITM2014-02259,moderate,R,R,R,R,high
ITM2014-02284,moderate,S,R,R,S,high
ITM2015-00171,moderate,R,R,S,S,high
ITM2015-00180,moderate,S,R,R,S,high
ITM2015-00830,high,S,R,S,S,low
ITM2015-00853,moderate,S,S,S,S,high
ITM2010-02808,moderate,R,R,S,S,high
ITM2011-00113,moderate,R,S,S,S,high
ITM2011-01331,no data,R,R,S,S,low
ITM2011-01346,moderate,R,R,S,S,high
ITM2011-01354,moderate,S,R,S,S,high
ITM2011-01485,moderate,R,R,S,S,high
ITM2011-01501,high,R,R,S,S,high
ITM2011-02382,moderate,R,R,S,S,high
ITM2007-02225,moderate,R,R,S,S,high
ITM2007-02228,high,S,R,R,S,high
ITM2007-02861,no data,R,S,S,S,high
ITM2007-03332,high,S,R,R,S,high
ITM2008-03113,high,R,R,S,S,high
ITM2008-03114,moderate,R,R,S,S,high
ITM2008-03135,high,R,R,R,R,high
ITM2009-00798,moderate,R,S,S,S,high
ITM2009-01126,moderate,S,R,R,S,high
ITM2009-01130,moderate,R,R,S,S,high
ITM2009-01980,moderate,R,R,S,S,high
ITM2009-02032,moderate,R,R,S,S,high
ITM2009-02333,moderate,R,R,S,S,high
ITM1999-01030,no data,S,R,S,S,S
ITM1999-01648,no data,S,S,S,S,S
