run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
ERR2307620,PRJEB24099,SAMEA104600403,,,,,,,R,,,,,,,,R,
ERR2307621,PRJEB24099,SAMEA104600404,,,,,,,R,,,,,,,,R,
ERR551746,PRJEB6273,SAMEA2534163,R,,R,S,R,R,R,,S,,S,S,R,R,R,R
ERR2307622,PRJEB24099,SAMEA104600405,,,,,R,,R,,,,,,R,,R,S
ERR2307623,PRJEB24099,SAMEA104600406,,,,B,,,R,,,,,,,,R,
ERR553044,PRJEB6273,SAMEA2535094,,,S,R,R,S,R,,,,S,R,R,,R,S
ERR2307625,PRJEB24099,SAMEA104600408,,,,,B,,R,,,,,,,,R,
ERR550824,PRJEB6273,SAMEA2533500,S,,S,S,R,R,R,,S,,S,S,R,,R,S
ERR552542,PRJEB6273,SAMEA2534720,S,,S,S,S,S,R,,S,,S,S,R,R,R,R
ERR2307629,PRJEB24099,SAMEA104600411,,,,,R,,R,,,,,,R,,R,R
ERR550918,PRJEB6273,SAMEA2533564,,,S,,S,S,R,,,,S,,R,,R,S
ERR552343,PRJEB6273,SAMEA2534579,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR2307631,PRJEB24099,SAMEA104600413,,,,,R,,R,,,,,,R,,R,S
ERR2307632,PRJEB24099,SAMEA104600414,,,,,,S,R,,,,S,,,,,
ERR2307633,PRJEB24099,SAMEA104600415,,,,,R,,R,,,,,,R,,R,
ERR2307634,PRJEB24099,SAMEA104600416,,,,,R,,R,,,,,,R,,R,
ERR2307635,PRJEB24099,SAMEA104600417,,,,,R,,R,,,,,,R,,R,
ERR2307637,PRJEB24099,SAMEA104600418,,,,,R,,R,,,,,,R,,R,
ERR2307638,PRJEB24099,SAMEA104600419,,,,,R,,R,,,,,,R,,R,
ERR2307639,PRJEB24099,SAMEA104600420,,,,,R,,R,,,,,,R,,R,
ERR2307640,PRJEB24099,SAMEA104600421,,,,,R,,R,,,,,,R,,R,
ERR2307641,PRJEB24099,SAMEA104600422,,,,,R,,R,,,,,,R,,R,
ERR2307642,PRJEB24099,SAMEA104600423,,,,,R,,R,,,,,,S,,R,
ERR2307643,PRJEB24099,SAMEA104600424,,,,,S,,R,,,,,,S,,R,S
ERR2307644,PRJEB24099,SAMEA104600425,,,,,S,,R,,,,,,R,,R,
ERR552936,PRJEB6273,SAMEA2535013,S,,S,S,R,R,R,,S,,S,S,R,R,R,S
ERR551162,PRJEB6273,SAMEA2533746,R,,R,S,R,R,R,,S,,S,,R,,R,R
ERR551140,PRJEB6273,SAMEA2533728,S,,S,S,R,S,R,,S,S,S,S,R,R,R,R
ERR551212,PRJEB7281,SAMEA2533777,,,,,R,R,R,,,,,,R,,R,R
ERR2307648,PRJEB24099,SAMEA104600429,,,,,B,,R,,,,,,,,R,R
ERR2307649,PRJEB24099,SAMEA104600430,,,,,,,R,,,,,,,,R,
ERR2307650,PRJEB24099,SAMEA104600431,,,,,R,,R,,,,R,,R,,R,R
ERR2307651,PRJEB24099,SAMEA104600432,,,,,R,,R,,,,,,R,,R,S
ERR2307652,PRJEB24099,SAMEA104600433,,,,,R,,R,,,,,,R,,R,R
ERR2307653,PRJEB24099,SAMEA104600143,,,,,,,,,,,,,,,,
ERR2307654,PRJEB24099,SAMEA104600434,,,,,R,,R,,,,,,R,,R,S
ERR2307655,PRJEB24099,SAMEA104600435,,,,,R,,S,,,,,,R,,R,R
ERR2307656,PRJEB24099,SAMEA104600436,,,,,R,,R,,,,,,R,,R,R
ERR2307657,PRJEB24099,SAMEA104600437,,,,,S,,R,,,,,,R,,R,R
ERR2307658,PRJEB24099,SAMEA104600438,,,,,S,,R,,,,,,R,,R,S
ERR2307659,PRJEB24099,SAMEA104600144,,,,,,,,,,,,,,,,
ERR2307660,PRJEB24099,SAMEA104600439,,,,,S,,R,,,,,,R,,R,S
ERR2307661,PRJEB24099,SAMEA104600440,,,,,R,,R,,,,,,R,,R,R
ERR2307662,PRJEB24099,SAMEA104600441,,,,,R,,R,,,,,,R,,R,R
ERR2307663,PRJEB24099,SAMEA104600442,,,,,S,,R,,,,,,R,,R,R
ERR2307664,PRJEB24099,SAMEA104600443,,,,,R,,R,,,,,,R,,R,R
ERR2307665,PRJEB24099,SAMEA104600444,,,,,R,,R,,,,,,R,,R,R
ERR2307666,PRJEB24099,SAMEA104600445,,,,,S,,R,,,,,,S,,R,S
ERR2307667,PRJEB24099,SAMEA104600446,,,,,R,,R,,,,,,R,,R,R
ERR2307668,PRJEB24099,SAMEA104600447,,,,,S,,R,,,,,,R,,R,S
