run,bioproject,study,biosample,sample,experiment,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
ERR2516980,PRJEB26001,,,ERS2401657,ERX2536195,S,,S,,,,R,R,S,S,,S,,R,
ERR2517094,PRJEB26001,,,ERS2401771,ERX2536309,S,,S,,,,S,R,S,S,,S,,R,
ERR2516868,PRJEB26001,,,ERS2401545,ERX2536083,S,,S,,,,R,R,S,R,,R,,R,
ERR2516897,PRJEB26001,,,ERS2401574,ERX2536112,R,,R,,,,,R,R,S,,S,,R,
ERR2516962,PRJEB26001,,,ERS2401639,ERX2536177,S,,S,,,,S,R,S,S,,S,,R,
ERR2517060,PRJEB26001,,,ERS2401737,ERX2536275,S,,S,,,,S,R,S,S,,S,,R,
ERR2517037,PRJEB26001,,,ERS2401714,ERX2536252,S,,S,,,,S,R,S,S,,S,,R,
ERR2517036,PRJEB26001,,,ERS2401713,ERX2536251,S,,S,,,,S,R,S,R,,R,,R,
ERR2517035,PRJEB26001,,,ERS2401712,ERX2536250,S,,S,,,,S,R,S,R,,R,,R,
ERR2516993,PRJEB26001,,,ERS2401670,ERX2536208,S,,S,,,,R,R,S,S,,S,,R,
ERR2516774,PRJEB26001,,,ERS2401451,ERX2535989,S,,S,,,,R,R,S,S,,S,,R,
ERR2516786,PRJEB26001,,,ERS2401463,ERX2536001,S,,S,,,,S,R,S,S,,S,,R,
ERR2516768,PRJEB26001,,,ERS2401445,ERX2535983,S,,S,,,,,R,S,S,,S,,R,
ERR2516877,PRJEB26001,,,ERS2401554,ERX2536092,S,,S,,,,,R,S,S,,S,,R,
ERR2516858,PRJEB26001,,,ERS2401535,ERX2536073,R,,R,,,,,R,R,S,,S,,R,
ERR2516961,PRJEB26001,,,ERS2401638,ERX2536176,S,,S,,,,,R,S,S,,S,,R,
ERR2516807,PRJEB26001,,,ERS2401484,ERX2536022,S,,S,,,,,R,S,S,,S,,R,
ERR2517050,PRJEB26001,,,ERS2401727,ERX2536265,,,,,,,S,S,,,,,,S,
ERR2516875,PRJEB26001,,,ERS2401552,ERX2536090,S,,S,,,,R,R,S,S,,S,,R,
ERR2517005,PRJEB26001,,,ERS2401682,ERX2536220,S,,S,,,,R,R,S,S,,S,,R,
ERR2517052,PRJEB26001,,,ERS2401729,ERX2536267,S,,S,,,,,R,S,R,,R,,R,
ERR2516856,PRJEB26001,,,ERS2401533,ERX2536071,S,,S,,,,R,R,S,R,,R,,R,
ERR2516964,PRJEB26001,,,ERS2401641,ERX2536179,S,,S,,,,R,R,R,R,,R,,R,
ERR2516779,PRJEB26001,,,ERS2401456,ERX2535994,S,,S,,,,R,R,R,R,,R,,R,
ERR2516951,PRJEB26001,,,ERS2401628,ERX2536166,S,,S,,,,,R,S,S,,S,,R,
ERR2516755,PRJEB26001,,,ERS2401432,ERX2535970,S,,S,,,,S,R,S,S,,S,,S,
ERR2516860,PRJEB26001,,,ERS2401537,ERX2536075,S,,S,,,,S,R,S,S,,S,,S,
ERR2516878,PRJEB26001,,,ERS2401555,ERX2536093,S,,S,,,,S,R,S,S,,S,,R,
ERR2516874,PRJEB26001,,,ERS2401551,ERX2536089,S,,S,,,,,R,S,S,,S,,R,
ERR2517081,PRJEB26001,,,ERS2401758,ERX2536296,S,,S,,,,,R,S,S,,S,,R,
ERR2516791,PRJEB26001,,,ERS2401468,ERX2536006,S,,S,,,,,R,S,S,,S,,R,
ERR2516902,PRJEB26001,,,ERS2401579,ERX2536117,S,,S,,,,,R,R,S,,S,,R,
ERR2516885,PRJEB26001,,,ERS2401562,ERX2536100,,,,,,,,R,,,,,,R,
ERR2516836,PRJEB26001,,,ERS2401513,ERX2536051,S,,S,,,,,R,S,S,,S,,R,
ERR2516749,PRJEB26001,,,ERS2401426,ERX2535964,S,,S,,,,,R,R,S,,S,,R,
ERR2516940,PRJEB26001,,,ERS2401617,ERX2536155,S,,S,,,,,R,S,S,,S,,R,
ERR2517002,PRJEB26001,,,ERS2401679,ERX2536217,S,,S,,,,,R,S,S,,S,,R,
ERR2516956,PRJEB26001,,,ERS2401633,ERX2536171,S,,S,,,,,R,S,S,,S,,R,
ERR2517069,PRJEB26001,,,ERS2401746,ERX2536284,S,,S,,,,S,R,S,S,,S,,R,
ERR2516914,PRJEB26001,,,ERS2401591,ERX2536129,S,,S,,,,S,R,S,S,,S,,R,
ERR2516740,PRJEB26001,,,ERS2401417,ERX2535955,S,,S,,,,S,R,S,S,,S,,R,
ERR2517059,PRJEB26001,,,ERS2401736,ERX2536274,R,,R,,,,R,R,R,S,,S,,R,
ERR2516746,PRJEB26001,,,ERS2401423,ERX2535961,S,,S,,,,S,R,S,S,,S,,R,
ERR2516797,PRJEB26001,,,ERS2401474,ERX2536012,,,,,,,,R,,,,,,,
ERR2517115,PRJEB26001,,,ERS2401792,ERX2536330,,,,,,,S,R,,,,,,R,
ERR2516985,PRJEB26001,,,ERS2401662,ERX2536200,S,,S,,,,R,R,S,S,,S,,R,
ERR2516904,PRJEB26001,,,ERS2401581,ERX2536119,S,,S,,,,S,R,S,S,,S,,R,
ERR2516792,PRJEB26001,,,ERS2401469,ERX2536007,S,,S,,,,R,R,S,S,,S,,R,
ERR2517031,PRJEB26001,,,ERS2401708,ERX2536246,S,,S,,,,R,R,S,S,,S,,R,
ERR2517104,PRJEB26001,,,ERS2401781,ERX2536319,S,,S,,,,S,R,S,S,,S,,R,
ERR2517124,PRJEB26001,,,ERS2401801,ERX2536339,S,,S,,,,S,R,S,S,,S,,R,
ERR2516813,PRJEB26001,,,ERS2401490,ERX2536028,S,,S,,,,,R,S,S,,S,,R,
ERR2516983,PRJEB26001,,,ERS2401660,ERX2536198,S,,S,,,,,R,R,S,,S,,R,
ERR2516765,PRJEB26001,,,ERS2401442,ERX2535980,S,,S,,,,,R,R,S,,S,,R,
ERR2517011,PRJEB26001,,,ERS2401688,ERX2536226,S,,S,,,,R,R,R,S,,S,,R,
ERR2516872,PRJEB26001,,,ERS2401549,ERX2536087,S,,S,,,,R,R,R,S,,S,,R,
ERR2517088,PRJEB26001,,,ERS2401765,ERX2536303,S,,S,,,,S,R,S,S,,S,,R,
ERR2516976,PRJEB26001,,,ERS2401653,ERX2536191,S,,S,,,,S,R,S,S,,S,,R,
ERR2517092,PRJEB26001,,,ERS2401769,ERX2536307,S,,S,,,,R,R,R,S,,S,,R,
ERR2517071,PRJEB26001,,,ERS2401748,ERX2536286,S,,S,,,,,R,R,S,,S,,R,
ERR2517100,PRJEB26001,,,ERS2401777,ERX2536315,S,,S,,,,,R,S,R,,R,,R,
ERR2516967,PRJEB26001,,,ERS2401644,ERX2536182,S,,S,,,,,R,S,S,,S,,R,
ERR2516870,PRJEB26001,,,ERS2401547,ERX2536085,S,,S,,,,R,R,S,S,,S,,R,
ERR2516795,PRJEB26001,,,ERS2401472,ERX2536010,S,,S,,,,R,R,S,S,,S,,R,
ERR2516888,PRJEB26001,,,ERS2401565,ERX2536103,S,,S,,,,R,R,S,S,,S,,R,
ERR2516963,PRJEB26001,,,ERS2401640,ERX2536178,S,,S,,,,R,R,S,S,,S,,R,
ERR2517113,PRJEB26001,,,ERS2401790,ERX2536328,S,,S,,,,,R,S,S,,S,,R,
ERR2517117,PRJEB26001,,,ERS2401794,ERX2536332,S,,S,,,,,R,S,S,,S,,R,
ERR2516842,PRJEB26001,,,ERS2401519,ERX2536057,S,,S,,,,,R,S,S,,S,,R,
ERR2517046,PRJEB26001,,,ERS2401723,ERX2536261,,,,,,,,R,,,,,,R,
ERR2516853,PRJEB26001,,,ERS2401530,ERX2536068,S,,S,,,,,R,S,S,,S,,R,
ERR2517119,PRJEB26001,,,ERS2401796,ERX2536334,S,,S,,,,,R,S,S,,S,,R,
ERR2516818,PRJEB26001,,,ERS2401495,ERX2536033,S,,S,,,,S,R,S,S,,S,,R,
ERR2517039,PRJEB26001,,,ERS2401716,ERX2536254,S,,S,,,,S,R,S,S,,S,,R,
ERR2517051,PRJEB26001,,,ERS2401728,ERX2536266,,,,,,,S,S,,,,,,S,
ERR2516931,PRJEB26001,,,ERS2401608,ERX2536146,S,,S,,,,,R,S,S,,S,,R,
ERR2516895,PRJEB26001,,,ERS2401572,ERX2536110,S,,S,,,,,R,R,S,,S,,R,
ERR2516977,PRJEB26001,,,ERS2401654,ERX2536192,S,,S,,,,,R,R,S,,S,,R,
ERR2517025,PRJEB26001,,,ERS2401702,ERX2536240,S,,S,,,,S,R,S,S,,S,,R,
ERR2517096,PRJEB26001,,,ERS2401773,ERX2536311,S,,S,,,,,R,R,S,,S,,R,
ERR2517001,PRJEB26001,,,ERS2401678,ERX2536216,S,,S,,,,,R,S,S,,S,,R,
