run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7911323,PRJEB48275,SAMEA10029901,R,R,S,R,S,S,S,S,S
ERR7911148,PRJEB48275,SAMEA10029902,R,R,R,R,S,S,S,R,R
ERR7911149,PRJEB48275,SAMEA10029903,S,R,S,S,S,S,S,S,S
ERR7911150,PRJEB48275,SAMEA10029904,R,R,R,R,S,S,S,S,S
ERR7911151,PRJEB48275,SAMEA10029905,R,R,S,R,S,S,S,R,S
ERR7911152,PRJEB48275,SAMEA10029906,R,R,S,S,S,S,S,S,S
ERR7911153,PRJEB48275,SAMEA10029907,R,R,R,R,S,S,S,S,S
ERR7911154,PRJEB48275,SAMEA10029908,R,R,R,R,S,S,S,R,R
ERR7911155,PRJEB48275,SAMEA10029909,R,R,R,S,S,S,S,S,S
ERR7911156,PRJEB48275,SAMEA10029910,R,R,S,R,S,S,S,S,S
ERR7911157,PRJEB48275,SAMEA10029911,R,R,S,S,S,S,S,S,S
ERR7911158,PRJEB48275,SAMEA10029912,R,R,R,S,S,S,S,S,S
ERR7911159,PRJEB48275,SAMEA10029913,R,R,R,S,S,S,S,S,S
ERR7911160,PRJEB48275,SAMEA10029914,R,R,S,S,S,S,R,S,S
ERR7911161,PRJEB48275,SAMEA10029915,R,R,R,R,S,S,S,S,S
ERR7911162,PRJEB48275,SAMEA10029916,R,S,S,R,S,S,S,S,S
ERR7911163,PRJEB48275,SAMEA10029917,R,R,R,R,S,S,S,S,S
ERR7911164,PRJEB48275,SAMEA10029918,R,R,S,R,S,S,S,S,S
ERR7911165,PRJEB48275,SAMEA10029919,R,R,R,R,S,S,S,S,S
ERR7911166,PRJEB48275,SAMEA10029920,R,R,R,R,S,S,S,S,S
ERR7911167,PRJEB48275,SAMEA10029921,R,R,S,S,S,S,S,S,S
ERR7911168,PRJEB48275,SAMEA10029922,R,S,S,R,S,S,S,S,S
ERR7911169,PRJEB48275,SAMEA10029923,R,R,S,S,S,S,S,S,S
ERR7911170,PRJEB48275,SAMEA10029924,R,R,S,S,S,S,S,S,S
ERR7911324,PRJEB48275,SAMEA10029925,R,R,R,S,S,S,S,S,S
ERR7911171,PRJEB48275,SAMEA10029926,R,R,R,S,S,S,S,S,S
ERR7911172,PRJEB48275,SAMEA10029927,R,R,R,S,S,S,S,S,S
ERR7911173,PRJEB48275,SAMEA10029928,S,R,S,S,S,S,S,S,S
ERR7911174,PRJEB48275,SAMEA10029929,R,R,R,R,S,S,S,R,S
ERR7911175,PRJEB48275,SAMEA10029930,R,R,S,R,S,S,S,S,S
