run,isoniazid,pyrazinamide,ethambutol,ethionamide,kanamycin,bioproject,biosample
ERR4553617,,S,R,S,S,PRJEB39569,SAMEA7280359
ERR4553618,,R,S,S,S,PRJEB39569,SAMEA7280360
ERR4553619,,R,S,S,S,PRJEB39569,SAMEA7280361
ERR4553620,S,S,R,S,S,PRJEB39569,SAMEA7280362
ERR4553621,,S,R,S,S,PRJEB39569,SAMEA7280363
ERR4553630,,R,S,R,S,PRJEB39569,SAMEA7280372
ERR4553631,,S,S,S,S,PRJEB39569,SAMEA7280373
ERR4553632,,S,S,R,S,PRJEB39569,SAMEA7280374
ERR4553633,,S,R,S,S,PRJEB39569,SAMEA7280375
ERR4553635,,R,R,S,S,PRJEB39569,SAMEA7280377
ERR4553643,,S,R,S,S,PRJEB39569,SAMEA7280385
ERR4553646,,S,R,S,S,PRJEB39569,SAMEA7280388
ERR4553647,,S,R,S,S,PRJEB39569,SAMEA7280389
ERR4553648,,S,S,S,S,PRJEB39569,SAMEA7280390
ERR4553651,,S,R,R,S,PRJEB39569,SAMEA7280393
ERR4553661,,R,R,S,S,PRJEB39569,SAMEA7280403
ERR4553662,,S,R,R,S,PRJEB39569,SAMEA7280404
ERR4553666,,S,R,S,S,PRJEB39569,SAMEA7280408
ERR4553669,,R,R,S,S,PRJEB39569,SAMEA7280411
ERR4553670,,S,R,S,S,PRJEB39569,SAMEA7280412
ERR4553679,,S,R,S,S,PRJEB39569,SAMEA7280421
ERR4553682,S,S,S,S,S,PRJEB39569,SAMEA7280424
ERR4553685,,S,R,R,S,PRJEB39569,SAMEA7280427
ERR4553686,,S,S,R,S,PRJEB39569,SAMEA7280428
ERR4553687,R,S,S,R,S,PRJEB39569,SAMEA7280429
ERR4553698,,S,R,S,S,PRJEB39569,SAMEA7280440
ERR4553699,,S,R,S,S,PRJEB39569,SAMEA7280441
ERR4553700,,R,R,S,S,PRJEB39569,SAMEA7280442
ERR4553701,R,S,R,R,S,PRJEB39569,SAMEA7280443
ERR4553703,,R,R,S,S,PRJEB39569,SAMEA7280445
ERR4553704,,S,S,S,S,PRJEB39569,SAMEA7280446
ERR4553714,,S,S,S,S,PRJEB39569,SAMEA7280456
ERR4553715,,S,R,S,S,PRJEB39569,SAMEA7280457
ERR4553716,R,R,S,S,S,PRJEB39569,SAMEA7280458
ERR4553718,,R,R,S,S,PRJEB39569,SAMEA7280460
ERR4553719,,S,R,S,S,PRJEB39569,SAMEA7280461
ERR4553720,,S,S,S,S,PRJEB39569,SAMEA7280462
ERR4553721,,S,S,S,S,PRJEB39569,SAMEA7280463
ERR4553730,,S,R,S,S,PRJEB39569,SAMEA7280472
ERR4553731,,S,R,S,S,PRJEB39569,SAMEA7280473
ERR4553732,,R,R,S,S,PRJEB39569,SAMEA7280474
ERR4553733,,R,R,S,S,PRJEB39569,SAMEA7280475
ERR4553734,R,S,S,S,S,PRJEB39569,SAMEA7280476
ERR4553736,,S,R,S,S,PRJEB39569,SAMEA7280478
ERR4553744,,S,S,S,S,PRJEB39569,SAMEA7280486
ERR4553746,,S,R,S,S,PRJEB39569,SAMEA7280488
ERR4553747,,S,R,S,S,PRJEB39569,SAMEA7280489
ERR4553748,,S,S,S,S,PRJEB39569,SAMEA7280490
ERR4553749,,R,R,R,S,PRJEB39569,SAMEA7280491
ERR4553750,,S,S,S,S,PRJEB39569,SAMEA7280492
ERR4553758,,S,S,R,S,PRJEB39569,SAMEA7280500
ERR4553760,,R,R,S,S,PRJEB39569,SAMEA7280502
ERR4553761,,S,R,S,S,PRJEB39569,SAMEA7280503
ERR4553762,,S,R,S,S,PRJEB39569,SAMEA7280504
ERR4553765,,R,R,S,S,PRJEB39569,SAMEA7280507
ERR4553766,R,S,R,R,S,PRJEB39569,SAMEA7280508
ERR4553776,,R,R,R,S,PRJEB39569,SAMEA7280518
ERR4553777,,S,R,R,S,PRJEB39569,SAMEA7280519
