run,amikacin,bioproject,biosample,ethambutol,ethionamide,isoniazid,kanamycin,ofloxacin,pyrazinamide,rifampicin,streptomycin
SRR12395356,,PRJNA650381,SAMN15703231,S,,S,,,S,S,
SRR12395355,,PRJNA650381,SAMN15703232,S,,S,,,S,S,
SRR12395353,,PRJNA650381,SAMN15703234,S,,S,,,S,S,
SRR12395352,,PRJNA650381,SAMN15703235,S,,S,,,S,S,
SRR12395351,,PRJNA650381,SAMN15703236,S,,S,,,S,S,
SRR12395350,S,PRJNA650381,SAMN15703237,R,R,R,S,S,R,R,R
SRR12395348,,PRJNA650381,SAMN15703239,,,S,,,,S,
SRR12395299,,PRJNA650381,SAMN15703242,S,,S,,,S,S,
SRR12395297,S,PRJNA650381,SAMN15703244,S,S,R,S,S,S,S,S
SRR12395296,,PRJNA650381,SAMN15703245,S,,S,,,S,S,
SRR12395295,,PRJNA650381,SAMN15703246,S,,S,,,S,S,
SRR12395293,,PRJNA650381,SAMN15703248,S,,S,,,S,S,
SRR12395291,,PRJNA650381,SAMN15703250,,S,S,,,S,S,S
SRR12395288,S,PRJNA650381,SAMN15703252,S,S,R,S,S,S,R,S
SRR12395287,,PRJNA650381,SAMN15703253,S,S,S,,,S,S,
SRR12395286,,PRJNA650381,SAMN15703254,S,,S,,,S,S,
SRR12395284,S,PRJNA650381,SAMN15703256,S,R,R,S,R,S,S,S
SRR12395282,,PRJNA650381,SAMN15703258,,S,S,,,,,
SRR12395281,,PRJNA650381,SAMN15703259,,,S,,,,,
SRR12395278,,PRJNA650381,SAMN15703261,,,S,,,,,
SRR12395276,,PRJNA650381,SAMN15703263,S,,S,,,R,S,
SRR12395275,,PRJNA650381,SAMN15703264,S,,S,,,S,S,
SRR12395273,,PRJNA650381,SAMN15703266,S,,S,,,S,S,
SRR12395272,,PRJNA650381,SAMN15703267,S,,S,,,S,S,
SRR12395271,,PRJNA650381,SAMN15703268,S,,S,,,S,S,
SRR12395265,,PRJNA650381,SAMN15703273,,S,,,,,,
SRR12395264,,PRJNA650381,SAMN15703274,,S,,,,,S,
SRR12395263,S,PRJNA650381,SAMN15703275,S,S,R,S,S,S,S,S
SRR12395221,,PRJNA650381,SAMN15703277,S,,S,,,S,S,
SRR12395220,,PRJNA650381,SAMN15703278,,,S,,,,,
SRR12395219,,PRJNA650381,SAMN15703279,,S,,,,,,
SRR12395218,,PRJNA650381,SAMN15703280,,,S,,,S,S,
SRR12395216,,PRJNA650381,SAMN15703281,S,,S,,,S,S,
SRR12395215,,PRJNA650381,SAMN15703282,S,,S,,,S,S,
SRR12395214,,PRJNA650381,SAMN15703283,S,,S,,,S,S,
SRR12395212,S,PRJNA650381,SAMN15703285,S,S,R,S,S,S,R,R
SRR12395211,,PRJNA650381,SAMN15703286,S,,S,,,,S,
SRR12395207,,PRJNA650381,SAMN15703290,S,,S,,,R,S,
SRR12395205,S,PRJNA650381,SAMN15703291,S,S,S,S,S,S,S,S
SRR12395204,,PRJNA650381,SAMN15703292,S,,S,,,S,S,
SRR12395203,,PRJNA650381,SAMN15703293,S,S,S,,,S,S,
SRR12395202,,PRJNA650381,SAMN15703294,S,,S,,,S,S,
SRR12395201,,PRJNA650381,SAMN15703295,S,,S,,,S,S,
SRR12395200,,PRJNA650381,SAMN15703296,S,,S,,,S,S,
SRR12395199,,PRJNA650381,SAMN15703297,S,,S,,,S,S,
SRR12395198,,PRJNA650381,SAMN15703298,S,,S,,,S,S,
SRR12395197,,PRJNA650381,SAMN15703299,S,,S,,,R,S,
SRR12395196,,PRJNA650381,SAMN15703300,S,,S,,,S,S,
SRR12395194,,PRJNA650381,SAMN15703301,S,,S,,,S,S,
SRR12395193,,PRJNA650381,SAMN15703302,S,,S,,,S,S,
SRR12395192,,PRJNA650381,SAMN15703303,S,,S,,,S,S,
SRR12395191,,PRJNA650381,SAMN15703304,S,,S,,,S,S,
SRR12395190,,PRJNA650381,SAMN15703305,S,S,S,,,S,S,
SRR12395189,,PRJNA650381,SAMN15703306,,,,,,S,,
SRR12395186,,PRJNA650381,SAMN15703309,S,,S,,,S,S,
SRR12395185,,PRJNA650381,SAMN15703310,S,,S,,,S,S,
SRR12395183,,PRJNA650381,SAMN15703311,S,,S,,,R,S,
SRR12395182,S,PRJNA650381,SAMN15703312,S,S,R,S,S,S,S,R
SRR12395179,,PRJNA650381,SAMN15703315,,,,,R,,,
SRR12395178,,PRJNA650381,SAMN15703316,,,,,,R,,
SRR12395177,,PRJNA650381,SAMN15703317,,S,,,,,,
SRR12395176,S,PRJNA650381,SAMN15703318,S,S,R,S,S,S,S,R
SRR12395174,,PRJNA650381,SAMN15703320,S,,S,,,S,S,
SRR12395171,,PRJNA650381,SAMN15703321,S,,S,,,S,S,
SRR12395170,S,PRJNA650381,SAMN15703322,S,S,R,S,S,S,S,R
SRR12395169,S,PRJNA650381,SAMN15703323,S,S,R,S,S,S,S,S
SRR12395168,,PRJNA650381,SAMN15703324,S,,S,,,S,S,
SRR12395167,,PRJNA650381,SAMN15703325,S,,S,,,S,S,
SRR12395166,,PRJNA650381,SAMN15703326,S,,S,,,S,S,
SRR12395165,,PRJNA650381,SAMN15703327,S,,S,,,S,S,
SRR12395164,,PRJNA650381,SAMN15703328,S,,S,,,S,S,
SRR12395163,,PRJNA650381,SAMN15703329,S,S,S,,,S,S,
SRR12395162,,PRJNA650381,SAMN15703330,S,,S,,,S,S,
SRR12395156,,PRJNA650381,SAMN15703335,S,,S,,,S,S,
SRR12395155,,PRJNA650381,SAMN15703336,S,,S,,,,S,
SRR12395154,S,PRJNA650381,SAMN15703337,S,S,R,S,S,S,R,R
SRR12395153,,PRJNA650381,SAMN15703338,S,,S,,,S,S,
SRR12395152,S,PRJNA650381,SAMN15703339,S,R,R,S,S,S,S,R
SRR12395151,,PRJNA650381,SAMN15703340,S,,S,,,S,S,
SRR12395149,,PRJNA650381,SAMN15703341,S,,S,,,S,S,
SRR12395148,,PRJNA650381,SAMN15703342,S,S,S,,,S,S,
SRR12395147,S,PRJNA650381,SAMN15703343,S,R,S,S,S,S,S,S
SRR12395146,,PRJNA650381,SAMN15703344,S,,S,,,S,S,
SRR12395145,S,PRJNA650381,SAMN15703345,S,S,R,S,S,S,R,R
SRR12395144,,PRJNA650381,SAMN15703346,S,,S,,,S,S,
SRR12395143,,PRJNA650381,SAMN15703347,S,,S,,,R,S,
