run,amikacin,bioproject,biosample,ethambutol,ethionamide,isoniazid,kanamycin,ofloxacin,pyrazinamide,rifampicin,streptomycin
SRR18910161,,PRJNA650381,SAMN27761482,S,,S,,,S,S,
SRR18910212,,PRJNA650381,SAMN27761572,S,,S,,,S,S,
SRR18910211,,PRJNA650381,SAMN27761573,S,,S,,,S,S,
SRR18910200,S,PRJNA650381,SAMN27761574,S,R,S,S,S,S,S,S
SRR18910199,S,PRJNA650381,SAMN27761575,S,S,R,S,S,S,S,S
SRR18910197,,PRJNA650381,SAMN27761577,S,,S,,,S,S,
SRR18910196,S,PRJNA650381,SAMN27761578,S,S,S,S,S,S,S,S
SRR18910195,,PRJNA650381,SAMN27761579,S,,S,,,S,S,
SRR18910209,,PRJNA650381,SAMN27761583,,S,,,,,,
SRR18910206,,PRJNA650381,SAMN27761586,,,S,,,,,
SRR18910205,,PRJNA650381,SAMN27761587,,,S,,,,,
SRR18910204,S,PRJNA650381,SAMN27761588,S,S,S,S,S,S,S,S
SRR18910201,,PRJNA650381,SAMN27761591,S,,S,,,S,S,
SRR18911004,,PRJNA650381,SAMN27761649,S,,S,,,S,S,
SRR18911003,,PRJNA650381,SAMN27761650,S,,S,,,S,S,
SRR18910992,,PRJNA650381,SAMN27761651,S,,S,,,S,S,
SRR18910991,,PRJNA650381,SAMN27761652,S,,S,,,S,S,
