run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifabutin,rifampicin,streptomycin,thioacetazone
ERR038742,,,PRJEB2424,SAMEA787704,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR038743,,,PRJEB2424,SAMEA787703,S,,,,,R,S,,R,S,,,,S,,S,,R,S,
ERR038745,,,PRJEB2424,SAMEA787756,S,,,,,R,S,,R,S,,,,S,,R,,R,S,
ERR038746,,,PRJEB2424,SAMEA787752,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR038747,,,PRJEB2424,SAMEA787724,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR038748,,,PRJEB2424,SAMEA787715,S,,,,,R,S,,R,S,,,,S,,R,,R,S,
ERR038749,,,PRJEB2424,SAMEA787714,,,,,,R,,,R,,,,,S,,R,,R,R,
ERR038750,,,PRJEB2424,SAMEA787729,,,,,,R,,,R,,,,,S,,S,,R,R,
ERR038751,,,PRJEB2424,SAMEA787730,,,,,,S,,,R,,,,,S,,S,,S,R,
ERR038752,,,PRJEB2424,SAMEA787727,S,,,,,S,S,,R,S,,,,S,,S,,R,R,
ERR038753,,,PRJEB2424,SAMEA787728,S,,,,,R,S,,R,S,,,,S,,S,,R,S,
ERR038754,,,PRJEB2424,SAMEA787725,S,,,,,R,S,,R,S,,,,S,,R,,R,R,
ERR038755,,,PRJEB2424,SAMEA787726,,,,,,S,,,R,,,,,S,,S,,R,R,
ERR039323,,,PRJEB2221,SAMEA961644,,,,,,S,,,S,,,,,,,S,,S,S,
ERR039324,,,PRJEB2221,SAMEA961647,,,,,,S,,,S,,,,,,,S,,S,S,
ERR039325,,,PRJEB2221,SAMEA961648,,,,,,S,,,S,,,,,,,S,,S,,
ERR039326,,,PRJEB2221,SAMEA961645,,,,,,S,,,S,,,,,,,S,,S,,
ERR039327,,,PRJEB2221,SAMEA961646,,,,,,S,,,S,,,,,,,S,,S,,
ERR039328,,,PRJEB2221,SAMEA961642,,,,,,S,,,S,,,,,,,S,,S,,
